"word","description"
"rock","A crack rock, street-level form, 80s–90s."
"work","Cocaine or drugs meant for sale, hustling term, 90s–2000s."
"dope","Heroin or general drugs, foundational in old-school rap references."
"boy","Heroin (in some regions), 90s–2000s."
"brown","Heroin (brown powder), 90s–2000s."
"tar","Black tar heroin, 90s West Coast references."
"dogfood","Heroin slang, gritty street rap 90s–2000s."
"smack","Heroin, older term from 80s–90s."
"junk","Heroin or drugs in general, old slang."
"blow","Cocaine, 80s–90s."
"base","Freebase cocaine, 80s crack era references."
"meth","Methamphetamine, mentioned in gangsta/trap contexts 2000s–."
"crystal","Crystal meth, similarly 2000s–."
"ice","Meth, known as ice, 2000s–."
"glass","Meth, referencing its crystalline form."
"tina","Slang for meth in some subcultures, less common in mainstream rap."
"ket","Ketamine, emerged in underground and experimental rap 2000s–."
"ketamine","Full name for ket, less common but appears in psychedelic rap."
"specialk","Ketamine nickname, 90s–2000s rave culture influence."
"ghb","Club drug, referenced occasionally in party/drug rap."
"nitrous","Nitrous oxide, party drug references."
"whippets","Nitrous oxide canisters, rare but appears in party rap."
"budder","Concentrated cannabis product, modern cannabis culture (2010s–)."
"wax","Cannabis concentrate, dabbing culture, 2010s–."
"shatter","Cannabis concentrate, high potency, 2010s–."
"dab","Act of vaping concentrates, popularized in 2010s weed rap."
"hash","Hashish, older global cannabis product, known since old-school rap."
"keef","Kief, cannabis resin crystals, variant spelling."
"kief","Kief, standard spelling, cannabis potency references."
"spice","Synthetic cannabinoid, referenced in cautionary tales (2010s–)."
"k2","Another synthetic weed, 2010s cautionary rap references."
"bathsalts","Synthetic stimulants, appeared in 2010s shock/drug rap."
"flakka","Synthetic stimulant, 2010s Florida scene references."
"crank","Older term for meth, 80s–90s."
"speed","Amphetamines, 80s–90s reference."
"uppers","General stimulants, broad category since early rap."
"downers","General depressants, broad category."
"bennies","Benzedrine (old amphetamine), rare nostalgic reference."
"pharmies","Pharmaceutical pills abused recreationally, 2000s–2010s rap."
"scripts","Prescription drugs, indicates obtaining meds illegally, 2000s–."
"syrup","Another term for lean/codeine mixture, Southern rap since 90s."
"drank","Lean, associated with Houston sound, 90s–2000s."
"xan","Short for Xanax, SoundCloud era (2010s)."
"hydro","High-grade marijuana (hydroponic), 90s–2000s."
"mid","Low-quality weed, used to insult product (2000s–2010s)."
"regs","Regular (low-quality) weed, 90s–2000s slang."
"diesel","Sour Diesel, a popular weed strain, East Coast 2000s."
"runtz","Trendy cannabis strain, 2010s–."
"biscotti","Another designer weed strain, 2010s–."
"mids","Plural of mid, referencing medium-quality weed, 2000s–2010s."
"loudpack","Package of potent weed, 2010s trap rap slang."
"fire","Can mean high-quality weed or drugs, widely used."
"og","OG Kush or original gangster weed strain, 2000s–."

"gat","Gun, common in 80s–90s gangster rap."
"strap","Gun, widely used term in 90s–2000s rap."
"heat","Gun, referencing a firearm’s “heat,” old-school to modern."
"piece","Gun, old slang, all eras."
"burner","Gun, emphasizes firearm as disposable, 90s–2000s."
"hammer","Gun, referencing the firing mechanism, 90s slang."
"iron","Gun, older term, used in gritty street rap."
"toolie","Gun, modern variant (2000s–2010s)."
"tool","Gun, simple slang, various eras."
"nine","9mm handgun, heavily referenced in 80s–90s gangsta rap."
"choppa","Automatic rifle (AK-47), popular in Southern/trap rap (2000s–)."
"stick","Gun, especially a rifle, trap era slang (2010s)."
"blicky","Gun, modern New York drill rap (2010s–)."
"glizzy","Glock pistol, DC/NY slang, 2010s–."
"mac","Mac-10 submachine gun, 80s–90s gangster rap references."
"draco","A short AK-style rifle, popularized in 2010s trap rap."
"extendo","Extended magazine, modern (2010s) trap and drill references."
"clip","Magazine for a gun, old-school to modern usage."
"hollows","Hollow-point bullets, gritty street rap."
"bust","To fire a gun, 90s–2000s."
"pop","Shoot, generic slang from early hip-hop to present."
"dump","Fire multiple shots, 90s–2000s."
"ride","To go on a drive-by or mission, gangsta rap 90s–2000s."
"lick","A robbery or quick hit for money, 2000s–2010s trap rap."
"jug","Scam or quick robbery, 2010s slang."
"finesse","To scam or cheat someone, 2010s rap."
"trap","Place/activity of selling drugs, prominent in Southern rap (2000s–)."
"trapline","Drug dealing route, modern trap references."
"block","Neighborhood territory, common in 80s–90s NY rap."
"set","Gang or crew territory, widely used in 90s–2000s rap."
"turf","Territory controlled by a gang, old-school gangsta rap."
"hood","Neighborhood, especially impoverished area, all eras."
"ops","Enemies/opponents, modern drill and trap usage (2010s–)."
"opps","Plural of ops, very common in 2010s Chicago drill."
"rival","Enemy gang/person, all eras."
"snitch","Informant, heavily used since 90s."
"rat","Another term for informant, 90s–2000s."
"plug","Drug supplier, 2010s trap slang."
"connect","Connection to a supplier, 80s–90s era."
"hustle","To make money illegally, classic term from early 80s–90s rap."
"grind","Working hard, can be illegal hustle (80s–90s) or positive."
"reup","Restock drugs, 90s–2000s."
"stash","Hidden supply of drugs/money/guns, common in gangsta rap."
"hot","Under police surveillance, suspicious, 90s–2000s."
"fugitive","On the run from law, used in narrative rap."
"jack","To rob, 80s–90s West Coast."
"mug","Rob face-to-face, common in gangsta rap."
"jux","Slang for robbery, NY usage, 90s–2000s."
"shank","Knife, prison and street references."
"blade","Knife, older term."
"cut","To stab or slash, can appear in violent street rap."
"slide","Move on enemies, do a drive-by or hit, modern drill slang."
"spin","Circle enemy territory to attack, drill rap (2010s–)."
"fold","To give in to police or betray under pressure, modern usage."
"code","Code of silence or street code, since early gangsta rap."
"bid","Prison sentence, 90s–2000s."
"lockdown","Prison lockdown, or being in jail, 90s–2000s."
"yard","Prison yard, used in prison narrative raps."
"cell","Prison cell, common in jail-themed tracks."
"joint","Slang for prison, old-school usage."
"fed","Federal agent, 90s–2000s."
"narcs","Narcotics officers, 80s–90s."
"fiveo","Police, 80s–90s (from Hawaii Five-O)."
"boys","Cops, “the boys,” all eras."
"pigs","Derogatory term for police, since early political rap (80s–)."
"knock","Police raid, old school usage."
"raid","Police busting a location, used in crime narratives."
"getaway","Escape car, heist rap references."
"hotcar","Stolen car, modern trap slang."
"burnerphone","Disposable phone for illicit deals, 2000s–2010s."
"scheme","Criminal plan, all eras."
"plot","Another term for criminal plan, storytelling rap."
"gang","Criminal group, fundamental in gangsta rap since 80s–90s."
"clique","Crew or group, not always criminal, but can be."
"crew","Group of associates, can be gang or rap crew."
"squad","Group of affiliates, 90s–2000s usage."
"mob","Organized crime group, referencing Mafia, 90s–2000s."
"mafia","Direct Mafia reference, popular in 90s–2000s Mafia-themed rap."
"cartel","Refers to drug cartels, often in narco-rap contexts (2000s–)."
"shakedown","Extortion, old-school gangster term."
"extort","To force money from someone, common in gangster narratives."
"launder","Washing dirty money, 90s–2000s crime rap."
"caper","Criminal undertaking, older usage for a heist."
"heist","Robbery of high value, storytelling rap (90s–2000s)."
"homicide","Murder, serious crime references in gangsta/drill rap."
"robbery","General term for theft, gangsta rap staple."
"theft","Stealing, generic criminal act in storytelling rap."
"burglary","Breaking and entering to steal, crime narrative rap."
"larceny","Legal term for theft, appears in more lyrical, narrative contexts."
"arson","Setting fire illegally, rarely used but possible in crime rap."
"assault","Violent attack, 80s–90s gangster rap."
"felony","Serious crime, used to emphasize severity of acts."
"misdemeanor","Lesser crime, might be used for contrast."
"contraband","Illegal goods, drug/gun references."
"weapon","General term for arms, all eras."
"turfwar","A war over territory, gang conflict, common in hardcore rap."
"lookout","Person who watches for police, common in crime rap."
"runner","Person who runs drugs or errands for criminals, 90s–2000s."
"shooter","Gunman in a crew, drill/trap rap 2010s–."
"triggerman","Person who pulls the trigger, old gangster rap narrative."

"love","Universal theme of positivity, appeared since early conscious rap."
"bless","To bestow good fortune, used in spiritual or uplifting rap."
"blessings","Plural form, acknowledging good fortune, 2010s–."
"woke","Aware of social issues, became popular in mid-2010s conscious rap."
"real","Emphasizing authenticity, core to hip-hop’s ethos since the 80s."
"truth","Speaking truth, a key element in conscious and lyrical rap."
"rise","Overcoming adversity, common in motivational rap."
"uplift","Encouraging betterment of community, conscious rap 90s–2000s."
"glow","Shining positivity, self-improvement themes 2000s–2010s."
"shine","Success or positivity, 90s–2000s, e.g. “let it shine.”"
"peace","Calls for non-violence, unity, a core message in old school/conscious rap."
"unity","Togetherness, often in positive, community-focused 80s–90s rap."
"strength","Inner resilience, all eras of conscious rap."
"hope","Hope for better future, common in socially aware hip-hop."
"perseverance","Overcoming struggle, 90s–2000s conscious rap themes."
"hustle","In positive sense: working hard for success, not just crime, all eras."
"grind","Consistent hard work toward goals, widely used since 2000s."
"resilience","Ability to bounce back, common in motivational rap."
"honesty","Being truthful, key theme in conscious rap."
"realness","Authenticity, celebrated in hip-hop culture."
"solid","Dependable, trustworthy, used in positive community-building context."
"strong","Personal strength, used as praise for enduring hardships."
"overcome","Surpassing adversity, essential in narrative of success."
"motivate","Urging listeners to improve themselves, 2000s–2010s motivational rap."
"inspire","Encouraging creativity and positive change, often in conscious rap."
"encourage","Offering support, positive reinforcement in lyrics."
"selfmade","Achieving success without external help, embraced in entrepreneurial rap themes (2000s–)."
"selflove","Advocating self-acceptance, mental health awareness in 2010s rap."
"knowledge","Emphasizing learning, 80s–90s conscious rap (e.g. KRS-One)."
"power","Inner power, community power, or black empowerment, common in conscious rap."
"growth","Personal development, evolving as an artist/person, 2000s–2010s."
"success","Attaining goals, a key theme in mainstream motivational rap."
"focus","Maintaining concentration and avoiding distractions, widely used."
"dream","Aspiring for better life, from old-school to modern rap."
"driven","Being motivated, often in modern entrepreneurial rap narratives."
"hungry","Seeking success, ambition, post-2000s usage."
"humble","Encouraging humility despite success, 2010s (e.g. Kendrick Lamar)."
"gratitude","Expressing thankfulness, more common in reflective rap."
"community","Building or uplifting one’s neighborhood, conscious rap."
"elevate","To rise to a higher level, spiritually or materially, 2000s–."
"elevation","The process of rising or improving, used poetically."
"learning","Valuing education and personal knowledge, conscious rap motif."
"betterment","Improving oneself or society, conscious and positive rap."
"improvement","Similar to betterment, focusing on progress."
"healing","Emotional/mental healing, increasingly referenced in 2010s mental health conversations in rap."
"wellness","Overall health, mind-body well-being, 2010s holistic rap themes."
"kindness","Encouraging empathy, some conscious rappers emphasize kindness."
"wisdom","Valuing life lessons, old-school conscious rap."
"courage","Facing fears, praised in storytelling rap."
"faith","Spiritual trust, common in Christian-influenced rap or positive rap."
"soldier","Metaphor for enduring hardships heroically."
"weather","To endure hard times, “weather the storm,” narrative rap."
"thanks","Showing appreciation, reflective tracks."
"advance","Moving forward positively, growth theme."
"rising","Process of rising, positive transformation, new era conscious rap."
"upbeat","Positive, energetic mood, often in feel-good party rap."
"bright","Symbolizing a hopeful future."
"future","Looking ahead optimistically, 2000s–2010s."
"balance","Maintaining harmony in life, conscious or lifestyle rap."
"calm","Emphasizing tranquility, mental peace."
"stable","Being stable and secure, personal development."
"genuine","Authentic and sincere, valued in “real hip-hop” discussions."
"earnest","Honest and sincere approach, more lyrical and conscious rap."
"mend","Healing broken relationships or communities."
"raise","Lifting oneself or others up, community-building."
"bloom","Flourishing, akin to personal growth and success metaphors."
"blossom","Similar to bloom, positive development."
"flourish","Thrive in a positive environment, aspirational rap."
"prosper","Achieve prosperity and success, widely used."
"thrive","To do well and grow strong, motivational rap."
"spark","Ignite inspiration or positive change, conscious rap imagery."
"enlightened","Reaching a higher state of understanding, intellectual rap."
"awake","Aware, similar to “woke,” paying attention to truth."
"aware","Conscious of social/personal issues, conscious rap."
"mindful","Mindfulness movement (2010s), mental health positive rap."
"zealous","Passionately committed, can appear in uplifting lyrical rap."
"devoted","Dedicated, can refer to positive loyalty or purpose."
"capable","Affirming one’s ability, motivational lines."
"steadfast","Firm and unwavering, positive character trait in storytelling rap."
"stalwart","Loyal, strong supporter, heroic trait in positive messages."
"positive","Direct reference to positivity, overarching theme."
"thankful","Expressing thanks, reflective rap about blessings."
"joyful","Filled with joy, upbeat, positive energy in feel-good rap."
"joy","Simple expression of happiness, uplifting tracks."
"merry","Happy, cheerful, less common but possible in party rap context."
"peaceful","Emphasizing peace and lack of violence, conscious rap roots."
"kindly","Acting with kindness, moral positivity."
"helpful","Encouraging assisting others, community-oriented rap."
"hopeful","Retaining hope, a key to overcoming struggles in rap narratives."
"soothing","Gentle, calming tone, can refer to healing music."
"optimistic","Positive outlook, aligns with inspirational rap messages."
"sunny","Bright, cheerful mood, can appear in summer vibe rap."
"grin","Smile, showing happiness, simple positive imagery."
"smile","Direct symbol of happiness, common in uplifting hooks."
"fearless","Courage in the face of adversity, heroic narrative element."
"healer","Someone or something that heals, could be a metaphor for music/rap itself."
"mercy","Showing compassion, could appear in conscious or religious-influenced rap."
"faithfulness","Loyalty and trust, positive relational theme."
"harmony","Social and spiritual unity, conscious rap usage."
"clarity","Clear understanding or direction, positive mental state."
"sincerity","Genuineness in words and actions, valued in authentic hip-hop expression."
